age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
91,housemaid,divorced,secondary,no,29435,yes,no,unknown,28,jun,3707,12,-1,4,other,yes
52,blue-collar,single,secondary,no,-347,no,no,telephone,13,may,809,10,-1,4,success,no
30,unemployed,single,primary,no,67670,no,no,cellular,8,may,2576,61,-1,2,failure,no
82,unemployed,divorced,tertiary,no,80435,no,yes,unknown,11,may,1328,55,-1,1,unknown,no
67,admin.,divorced,primary,no,52764,no,no,cellular,9,may,1079,56,-1,1,failure,no
72,services,married,primary,no,93511,no,no,telephone,10,sep,4094,41,504,5,unknown,yes
25,blue-collar,divorced,primary,no,26860,no,no,telephone,14,may,4833,54,357,0,other,no
42,student,divorced,primary,no,-2140,no,no,unknown,1,mar,4550,32,-1,1,success,yes
77,student,divorced,primary,no,61646,no,no,telephone,17,may,4127,11,744,1,failure,yes
82,student,single,unknown,no,5337,no,no,cellular,27,dec,2303,17,-1,4,unknown,yes
51,self-employed,single,secondary,no,1252,yes,no,telephone,14,dec,2588,54,-1,4,other,no
80,management,married,secondary,no,69217,yes,yes,cellular,3,jan,2656,41,-1,5,other,yes
83,unknown,single,primary,no,39783,yes,no,telephone,13,jul,3621,63,741,4,success,no
48,retired,married,secondary,yes,58492,no,no,telephone,11,dec,260,57,-1,2,failure,no
88,student,single,unknown,no,74248,no,yes,telephone,19,mar,4067,48,-1,0,failure,no
40,admin.,married,tertiary,no,34076,no,no,unknown,8,jan,3974,3,-1,5,other,yes
36,admin.,single,secondary,no,59218,no,no,telephone,10,mar,4895,12,-1,4,unknown,yes
71,technician,single,secondary,no,51317,yes,no,unknown,24,apr,2924,24,-1,0,unknown,yes
67,unemployed,married,secondary,no,55802,yes,no,telephone,6,dec,2249,3,252,5,success,yes
28,unknown,divorced,unknown,no,69367,yes,yes,cellular,29,apr,2356,59,-1,3,unknown,no
82,technician,single,unknown,no,33842,no,no,unknown,10,apr,3050,15,-1,3,other,no
33,student,divorced,secondary,no,47492,yes,no,unknown,26,apr,1488,25,-1,2,other,no
80,entrepreneur,married,tertiary,no,57025,yes,no,telephone,3,may,3821,43,-1,1,failure,yes
18,management,divorced,unknown,no,7420,no,no,cellular,10,dec,2182,3,-1,2,failure,yes
80,management,married,tertiary,no,15274,yes,no,unknown,12,feb,1385,41,-1,0,success,yes
79,retired,single,primary,no,1837,no,no,telephone,15,jun,3616,7,-1,2,success,yes
78,technician,single,primary,no,13782,no,no,telephone,3,aug,1656,57,-1,0,unknown,no
69,housemaid,single,tertiary,no,40274,no,no,unknown,8,feb,397,44,-1,3,success,no
54,admin.,single,secondary,no,95138,yes,yes,unknown,28,jan,2568,22,-1,1,unknown,no
73,blue-collar,divorced,tertiary,no,93517,yes,yes,telephone,29,dec,2493,45,-1,3,success,yes
39,management,married,secondary,no,75913,yes,yes,cellular,14,apr,1433,20,-1,2,failure,no
78,retired,divorced,tertiary,no,53355,yes,no,unknown,4,mar,170,8,-1,1,failure,no
61,technician,married,primary,no,14277,no,no,cellular,9,may,2340,1,272,0,other,yes
53,student,married,tertiary,no,31404,no,yes,telephone,30,jan,3798,14,-1,2,failure,yes
57,blue-collar,married,unknown,no,76290,yes,no,cellular,29,feb,3942,45,-1,0,unknown,yes
62,retired,divorced,unknown,no,91957,yes,no,telephone,26,jan,1037,36,452,1,unknown,no
20,management,married,tertiary,no,97875,yes,no,unknown,27,jul,2116,18,-1,2,other,yes
28,technician,single,primary,no,34749,yes,yes,telephone,23,jun,4443,44,583,3,other,yes
37,entrepreneur,single,tertiary,no,45529,no,yes,cellular,20,apr,1694,25,844,2,failure,no
26,management,divorced,primary,no,48006,yes,no,telephone,24,dec,2341,10,-1,0,failure,yes
52,self-employed,single,unknown,no,-1813,yes,no,cellular,21,apr,3342,43,-1,4,failure,yes
70,student,divorced,unknown,no,4814,yes,yes,telephone,11,jan,2249,29,-1,2,success,yes
69,student,divorced,primary,no,-3026,no,no,unknown,20,feb,4138,42,-1,3,unknown,yes
54,blue-collar,divorced,secondary,no,73114,yes,no,unknown,10,sep,1772,36,-1,5,other,no
84,unemployed,divorced,secondary,no,16678,yes,no,telephone,20,jul,2420,7,-1,0,failure,yes
62,admin.,married,tertiary,no,69033,no,no,unknown,12,apr,2539,4,-1,5,unknown,no
24,management,single,primary,no,33280,no,yes,telephone,16,mar,3661,7,-1,5,unknown,yes
77,technician,single,secondary,no,79366,yes,no,unknown,6,mar,1662,15,-1,3,failure,no
62,admin.,married,primary,no,4708,no,no,telephone,30,jun,1354,15,-1,0,unknown,yes
67,retired,married,secondary,no,27771,yes,no,cellular,24,sep,1770,58,-1,1,other,no
62,management,married,primary,no,14530,yes,no,cellular,4,aug,1143,50,-1,1,failure,no
61,student,divorced,primary,no,39965,no,yes,cellular,15,sep,962,56,-1,3,success,no
25,self-employed,single,secondary,no,53818,yes,no,cellular,15,jan,4029,30,-1,4,unknown,yes
61,admin.,married,secondary,no,10517,no,no,cellular,28,jul,1698,21,-1,2,failure,no
80,student,divorced,primary,no,65369,yes,no,cellular,24,oct,1328,26,-1,2,failure,no
41,student,divorced,tertiary,no,98095,no,no,telephone,28,mar,3992,55,-1,0,other,yes
65,student,divorced,tertiary,no,-3239,yes,yes,telephone,15,jul,3878,23,-1,5,failure,yes
20,blue-collar,divorced,secondary,no,1468,no,no,cellular,5,jan,1208,40,-1,5,unknown,no
45,housemaid,divorced,unknown,no,96743,no,no,cellular,23,nov,1499,10,-1,0,failure,yes
52,admin.,married,tertiary,no,63391,no,yes,unknown,7,sep,4039,62,-1,1,success,yes
94,self-employed,divorced,secondary,no,93160,yes,no,telephone,20,aug,1366,41,-1,5,success,no
34,housemaid,single,primary,no,69578,no,no,unknown,13,aug,4236,61,-1,2,other,yes
39,technician,single,tertiary,no,70905,yes,no,cellular,11,sep,3038,19,-1,3,success,yes
49,retired,single,tertiary,no,9351,no,yes,telephone,4,jun,3277,39,-1,3,success,yes
95,technician,single,secondary,no,48301,no,no,telephone,25,dec,2626,18,-1,3,success,yes
84,blue-collar,single,tertiary,no,32185,yes,no,cellular,22,mar,150,30,-1,5,failure,no
20,unknown,divorced,tertiary,no,83698,yes,no,cellular,11,oct,4055,21,-1,2,failure,yes
36,housemaid,married,tertiary,no,-3257,no,no,unknown,23,oct,2759,9,-1,4,success,yes
82,housemaid,married,tertiary,no,-6002,no,no,cellular,31,nov,850,28,-1,2,success,no
22,unknown,married,primary,no,53226,yes,no,unknown,23,jan,4098,34,-1,1,other,yes
84,blue-collar,divorced,tertiary,no,98748,yes,no,telephone,30,jun,1443,10,-1,0,unknown,yes
39,admin.,single,unknown,no,101443,yes,no,telephone,15,aug,1799,26,-1,4,unknown,no
89,housemaid,single,unknown,no,57289,no,no,unknown,12,aug,3143,6,517,3,failure,yes
40,student,single,unknown,no,39287,yes,no,unknown,27,sep,1391,41,-1,5,other,no
51,entrepreneur,single,unknown,no,22021,no,no,cellular,21,aug,31,20,179,1,other,no
69,entrepreneur,single,secondary,no,100900,yes,no,cellular,19,mar,1580,6,-1,4,failure,no
27,self-employed,married,primary,no,12155,no,no,cellular,20,oct,3360,33,418,0,success,yes
61,blue-collar,married,tertiary,no,5884,yes,yes,unknown,31,jun,2081,53,199,0,success,yes
57,entrepreneur,divorced,tertiary,no,47917,yes,yes,telephone,22,dec,3504,63,-1,3,unknown,no
79,management,single,primary,no,35169,no,yes,unknown,26,jul,345,61,-1,3,success,no
95,unknown,married,tertiary,no,46538,no,no,cellular,2,jul,1266,11,-1,3,unknown,no
69,unknown,single,tertiary,no,91216,yes,no,telephone,23,aug,1169,14,-1,5,failure,no
49,admin.,single,tertiary,no,21679,yes,no,telephone,10,nov,315,57,675,5,success,no
49,entrepreneur,married,tertiary,no,88436,yes,no,cellular,4,nov,3182,40,-1,1,failure,no
50,self-employed,married,tertiary,no,15293,no,no,unknown,9,aug,1034,35,274,1,other,no
81,self-employed,divorced,unknown,no,27595,yes,no,telephone,26,jul,2324,51,-1,3,success,no
43,retired,married,unknown,no,-7511,no,no,unknown,26,jan,4872,5,402,5,failure,yes
31,entrepreneur,married,tertiary,no,66647,yes,no,unknown,10,jan,1216,35,152,4,success,no
44,admin.,single,primary,no,86430,no,no,unknown,6,sep,957,37,-1,0,other,no
19,self-employed,single,tertiary,no,89477,no,yes,telephone,13,may,4578,59,-1,3,other,yes
26,unknown,divorced,unknown,no,10420,yes,no,cellular,11,jun,1758,30,-1,2,unknown,no
25,blue-collar,divorced,primary,no,76356,yes,no,cellular,15,aug,1453,33,-1,0,other,yes
78,admin.,married,unknown,no,7546,no,no,telephone,25,mar,3539,51,-1,4,failure,yes
74,unknown,single,secondary,no,61132,yes,no,telephone,11,apr,636,18,-1,1,failure,no
72,unknown,married,tertiary,no,69263,yes,yes,telephone,6,jan,1860,5,-1,4,success,yes
54,unknown,single,tertiary,no,8783,yes,no,unknown,4,oct,980,30,-1,3,failure,no
73,blue-collar,married,primary,no,4156,yes,no,cellular,22,jul,4386,39,-1,2,failure,yes
30,self-employed,married,secondary,no,30,yes,no,cellular,7,mar,1458,31,-1,1,success,yes
88,retired,divorced,tertiary,no,69919,yes,no,telephone,7,aug,2788,45,336,1,failure,no
57,retired,married,unknown,no,59608,yes,yes,cellular,25,feb,2570,16,-1,2,other,no
91,services,single,unknown,no,5128,yes,yes,unknown,3,oct,2423,1,-1,4,other,yes
29,unknown,married,tertiary,no,47030,yes,no,telephone,21,mar,326,50,-1,2,unknown,no
56,technician,divorced,tertiary,no,79538,yes,no,cellular,1,apr,1292,54,-1,0,other,no
72,housemaid,divorced,tertiary,no,18184,no,no,telephone,30,nov,4205,39,-1,0,failure,yes
56,management,single,tertiary,no,58620,yes,no,cellular,23,sep,2696,20,-1,1,other,yes
52,admin.,divorced,unknown,no,24204,no,no,cellular,26,sep,4316,24,-1,3,failure,yes
30,blue-collar,single,tertiary,no,20711,no,no,unknown,21,aug,2751,31,715,1,unknown,no
47,entrepreneur,married,unknown,no,35129,no,no,unknown,13,jul,1565,27,-1,5,unknown,no
36,management,married,tertiary,no,30743,no,yes,unknown,31,mar,1698,15,-1,1,other,no
41,housemaid,married,primary,no,46507,yes,no,unknown,25,apr,3813,24,-1,2,success,yes
71,retired,married,unknown,no,14594,no,no,cellular,3,dec,1169,19,-1,2,failure,no
67,unknown,married,secondary,no,34928,yes,no,unknown,18,dec,2949,29,54,1,unknown,no
65,self-employed,married,secondary,no,60462,yes,yes,unknown,17,sep,4602,24,-1,5,success,yes
46,management,single,tertiary,no,34602,no,no,telephone,9,nov,4158,34,-1,1,failure,yes
92,admin.,married,tertiary,no,64204,yes,no,telephone,15,oct,1905,51,-1,0,failure,yes
24,retired,single,unknown,no,4730,yes,no,unknown,31,may,1362,21,-1,3,success,yes
44,admin.,single,tertiary,no,7142,no,no,telephone,3,sep,3057,4,-1,3,unknown,yes
27,technician,divorced,unknown,no,87214,no,no,unknown,29,oct,3001,52,-1,2,unknown,no
44,student,single,secondary,no,42800,no,no,unknown,22,feb,3553,12,-1,2,unknown,yes
93,entrepreneur,divorced,tertiary,no,59006,no,no,cellular,4,nov,357,59,-1,5,failure,no
46,self-employed,single,unknown,no,73377,no,no,unknown,10,jun,2655,34,-1,2,success,yes
88,self-employed,married,unknown,yes,8071,yes,no,unknown,27,apr,46,33,-1,3,other,no
56,unknown,single,unknown,no,98948,yes,no,telephone,22,jun,4874,26,-1,5,success,yes
72,technician,single,tertiary,no,38626,yes,no,telephone,3,apr,4302,45,114,2,failure,yes
53,blue-collar,single,unknown,no,89868,yes,no,unknown,5,apr,3639,42,-1,3,failure,no
38,unemployed,single,primary,no,37838,no,no,unknown,29,jul,1448,59,-1,2,failure,no
77,housemaid,single,secondary,no,36612,no,yes,telephone,5,dec,3671,2,-1,3,unknown,yes
93,student,married,primary,no,58068,no,no,telephone,20,may,2190,13,-1,3,other,no
38,entrepreneur,married,unknown,no,12998,no,no,unknown,31,mar,3192,18,-1,5,failure,yes
78,services,divorced,secondary,no,58975,no,no,telephone,6,oct,1140,12,-1,1,success,yes
38,technician,divorced,primary,no,100164,yes,no,unknown,2,apr,2334,60,-1,0,other,no
73,self-employed,married,primary,no,62974,yes,no,cellular,26,jul,4313,5,-1,2,success,yes
79,unknown,divorced,tertiary,no,-293,yes,no,telephone,30,apr,933,8,-1,3,unknown,no
53,self-employed,divorced,primary,no,68769,no,no,cellular,16,mar,1891,28,-1,1,unknown,no
75,self-employed,married,tertiary,no,-4326,no,no,cellular,8,apr,1434,17,-1,5,failure,no
39,student,divorced,tertiary,no,3368,yes,no,telephone,2,may,881,21,-1,3,other,no
24,retired,single,tertiary,no,23303,yes,no,cellular,29,dec,1953,39,-1,4,other,no
25,unknown,divorced,secondary,no,25541,yes,no,telephone,25,sep,2990,36,298,3,other,yes
52,admin.,single,primary,no,-7610,yes,no,telephone,28,sep,269,55,339,2,success,no
88,technician,single,unknown,no,-6092,no,no,unknown,25,jan,1010,29,-1,5,failure,no
27,technician,married,unknown,no,78815,no,no,telephone,14,jan,4019,60,-1,0,failure,no
53,admin.,married,tertiary,no,42010,no,no,telephone,15,may,1282,12,-1,1,failure,yes
72,unemployed,single,unknown,no,13980,yes,no,telephone,12,nov,1651,13,-1,4,failure,no
33,admin.,divorced,secondary,no,39237,yes,no,cellular,23,jan,3309,25,-1,5,other,yes
74,unemployed,divorced,secondary,no,68223,no,no,cellular,4,oct,3671,8,-1,1,success,yes
41,entrepreneur,divorced,secondary,no,72775,yes,no,cellular,2,oct,4718,2,-1,3,failure,yes
81,retired,single,tertiary,no,23695,yes,yes,telephone,30,apr,781,24,-1,2,failure,yes
63,services,single,primary,no,10382,yes,yes,cellular,10,feb,3712,34,-1,4,success,no
60,unknown,single,unknown,no,97527,yes,no,unknown,2,feb,3560,18,-1,2,failure,yes
31,management,divorced,secondary,no,61464,yes,yes,telephone,21,jan,610,18,-1,3,unknown,no
54,management,married,tertiary,no,100125,yes,no,unknown,13,nov,4311,7,-1,4,failure,yes
84,student,married,primary,no,25736,yes,yes,cellular,8,oct,1537,8,-1,4,unknown,no
19,services,divorced,secondary,no,4239,no,no,unknown,14,sep,2081,56,188,0,failure,no
77,blue-collar,single,secondary,no,34010,no,no,cellular,14,feb,3917,5,-1,3,success,yes
56,blue-collar,single,unknown,no,28063,no,yes,cellular,19,dec,2577,45,-1,1,success,no
74,management,divorced,tertiary,no,71121,yes,no,unknown,29,sep,1353,46,10,0,success,no
69,student,divorced,unknown,no,70773,no,no,telephone,28,oct,1583,13,-1,4,failure,no
51,technician,married,primary,no,-130,no,no,cellular,26,may,3640,16,-1,2,failure,no
42,unemployed,single,secondary,no,56651,yes,no,cellular,16,mar,901,24,-1,4,success,no
66,entrepreneur,single,tertiary,no,29706,yes,yes,unknown,18,oct,2320,42,-1,5,success,yes
28,unknown,divorced,tertiary,no,59637,no,no,telephone,5,jan,3676,3,706,0,unknown,yes
63,blue-collar,divorced,tertiary,no,35045,yes,yes,telephone,18,mar,4350,52,426,2,success,yes
25,unemployed,single,unknown,yes,51116,yes,yes,cellular,21,feb,4063,22,-1,0,unknown,yes
68,management,divorced,secondary,no,70732,yes,no,cellular,28,feb,1766,32,-1,4,failure,no
67,unknown,single,tertiary,no,24272,yes,no,cellular,2,jul,977,58,-1,5,other,no
24,blue-collar,divorced,unknown,no,13914,yes,no,telephone,27,mar,4597,9,282,5,other,yes
77,blue-collar,single,tertiary,no,69659,yes,no,unknown,17,dec,2938,60,-1,5,success,no
50,entrepreneur,single,secondary,no,96215,no,no,telephone,3,dec,2004,39,-1,1,other,no
79,housemaid,single,primary,no,40840,yes,no,telephone,31,mar,4436,27,-1,1,failure,yes
21,unknown,divorced,tertiary,no,101753,no,no,telephone,15,oct,3572,5,-1,5,failure,yes
31,retired,single,tertiary,no,12338,yes,no,telephone,13,jan,2343,5,-1,3,other,yes
56,unknown,married,secondary,no,82080,no,no,telephone,6,apr,960,52,-1,2,success,no
32,student,married,unknown,no,100702,no,no,unknown,3,aug,401,26,838,1,success,no
43,unknown,single,tertiary,no,24968,yes,no,unknown,3,mar,2610,48,-1,0,success,no
69,unknown,divorced,primary,no,8264,yes,no,unknown,9,jan,562,53,38,0,other,no
29,blue-collar,single,tertiary,no,65025,no,no,cellular,10,feb,1525,26,-1,4,failure,no
70,blue-collar,single,primary,no,87633,yes,no,cellular,15,aug,3351,20,-1,1,success,yes
26,technician,divorced,unknown,no,1146,no,no,unknown,19,mar,62,17,329,4,unknown,no
31,services,single,tertiary,no,62479,yes,no,cellular,31,mar,4866,41,-1,5,success,yes
63,management,divorced,tertiary,no,87840,yes,no,unknown,25,mar,2150,45,-1,2,success,no
79,entrepreneur,single,tertiary,no,-4479,yes,no,cellular,16,nov,4280,23,-1,1,other,yes
31,entrepreneur,divorced,secondary,no,48759,no,yes,cellular,29,nov,848,36,-1,1,other,no
41,blue-collar,divorced,secondary,no,468,yes,yes,telephone,18,oct,2266,35,-1,1,other,no
90,unemployed,single,unknown,no,11408,no,no,telephone,14,jan,4715,10,-1,3,unknown,yes
95,services,married,secondary,no,45498,yes,yes,cellular,7,apr,3110,34,-1,4,unknown,no
63,student,single,unknown,no,28015,no,no,telephone,14,nov,3977,48,324,4,other,yes
52,unknown,married,secondary,no,1364,no,no,unknown,2,jul,3369,61,-1,5,unknown,no
45,student,single,secondary,no,80081,no,no,unknown,5,jan,3637,22,-1,3,other,yes
65,management,married,secondary,no,14325,yes,no,telephone,30,mar,1792,16,-1,3,failure,no
64,admin.,single,secondary,no,87724,no,yes,telephone,7,oct,2229,57,-1,2,unknown,no
40,unemployed,single,primary,no,11441,no,yes,unknown,18,nov,243,58,498,2,other,no
19,admin.,married,tertiary,no,49168,yes,yes,unknown,4,jun,1274,53,-1,2,failure,no
29,student,married,secondary,no,71973,yes,no,unknown,19,feb,317,22,-1,5,failure,no
92,blue-collar,single,primary,no,44834,no,no,unknown,31,jan,1595,18,-1,3,success,no
50,management,married,unknown,no,37880,yes,no,cellular,15,mar,3570,40,-1,1,other,yes
55,unemployed,divorced,tertiary,no,74580,no,no,unknown,4,oct,1005,17,-1,1,success,no
54,management,divorced,primary,no,-6705,yes,no,telephone,1,oct,2353,49,-1,0,failure,no
79,unemployed,divorced,tertiary,no,82880,yes,yes,cellular,24,apr,2714,26,-1,5,failure,no
23,self-employed,married,tertiary,no,67888,no,no,telephone,4,dec,805,21,-1,1,other,no
24,housemaid,divorced,secondary,no,76133,no,no,cellular,10,nov,3990,51,-1,0,unknown,no
39,retired,single,unknown,no,38306,yes,yes,telephone,27,dec,3793,23,-1,1,success,yes
55,housemaid,single,tertiary,no,34287,no,no,unknown,17,oct,921,9,-1,2,failure,no
70,entrepreneur,married,primary,no,54911,yes,no,cellular,28,jul,177,51,-1,5,failure,no
56,retired,single,tertiary,no,62611,yes,no,unknown,28,dec,22,20,165,5,other,no
52,technician,divorced,primary,no,93771,no,no,telephone,21,sep,1440,42,459,1,unknown,no
91,unemployed,married,tertiary,no,86309,no,no,cellular,30,oct,617,42,-1,3,failure,no
30,self-employed,married,secondary,no,-2072,yes,no,unknown,2,may,85,6,403,4,unknown,no
62,unemployed,single,unknown,no,8693,no,no,telephone,8,mar,2267,3,-1,4,other,no
60,unemployed,single,secondary,no,96127,yes,no,telephone,9,jul,2582,52,-1,2,other,yes
54,blue-collar,single,unknown,no,34695,no,no,unknown,29,may,91,4,724,1,unknown,no
80,management,single,unknown,no,55831,no,no,telephone,20,may,2944,21,-1,4,unknown,yes
38,student,married,unknown,no,-1772,no,no,telephone,8,sep,1983,49,-1,2,success,no
92,retired,married,secondary,no,3509,yes,no,cellular,7,aug,985,12,-1,1,failure,yes
43,technician,married,primary,no,36976,yes,no,cellular,25,apr,546,33,-1,4,success,no
60,student,married,unknown,no,70905,yes,no,telephone,27,mar,3734,8,-1,5,other,yes
58,student,divorced,secondary,no,76951,no,no,cellular,1,jul,530,36,-1,5,success,no
84,retired,divorced,unknown,no,90415,no,no,cellular,12,apr,986,45,-1,5,failure,no
52,unemployed,single,primary,no,13673,no,yes,unknown,17,mar,3505,16,-1,3,failure,yes
40,management,married,primary,no,14202,yes,no,telephone,8,mar,3097,18,-1,4,other,yes
19,technician,single,unknown,no,51607,no,no,telephone,23,aug,4916,34,-1,1,other,yes
46,blue-collar,divorced,primary,no,52161,no,no,unknown,24,may,198,50,-1,1,other,no
